地名,目标榨季,历史单产均值(t/ha),预测单产(t/ha),最终预测单产(t/亩),参考面积(ha),观测月数
七星区,2026,77.15971372701573,77.76137859585428,4.276875822771985,0.0,2
万秀区,2026,77.15971372701573,77.53376641264327,4.26435715269538,0.0,3
三江侗族自治县,2026,75.55696715245568,76.88809451945204,4.2288451985698625,20.1,3
上思县,2026,77.68700555394021,77.98459683090798,4.289152825699938,32106.8,3
上林县,2026,87.02023573948281,88.61846616923033,4.874015639307668,6938.8,3
东兰县,2026,85.61632480840169,85.4416636728285,4.6992915020055674,587.6,3
东兴市,2026,63.78244304863982,63.69303588148564,3.5031169734817103,208.1,3
临桂区,2026,107.5185597145703,108.69335006519512,5.978134253585732,485.1,3
乐业县,2026,41.0468100335125,42.94136916893363,2.3617753042913496,56.9,3
全州县,2026,66.12669421791762,66.43434503562784,3.6538889769595313,479.0,3
八步区,2026,65.71867011455149,68.20771487797184,3.7514243182884512,460.3,3
兴业县,2026,91.48261809806755,91.00317114084532,5.005174412746493,737.4,3
兴宁区,2026,67.25160397323353,69.16721040351493,3.8041965721933213,825.6,3
兴安县,2026,49.10109655348851,51.16063675307419,2.813835021419081,39.9,3
兴宾区,2026,92.48501268895735,95.38715041656626,5.246293272911144,81207.3,3
凌云县,2026,71.47873387515436,72.70299527371971,3.998664740054584,64.6,3
凤山县,2026,74.51297077922078,74.94403729846448,4.121922051415546,35.2,3
凭祥市,2026,79.2732576190821,80.17228741032928,4.40947580756811,2747.1,3
北流市,2026,97.17620870286234,96.73495098120515,5.320422303966283,546.6,3
南丹县,2026,66.93505841276314,67.87524737901605,3.7331386058458826,1625.3,3
博白县,2026,121.47267889269685,119.25397909560432,6.558968850258238,2627.3,3
叠彩区,2026,126.7298245614035,124.34771903638881,6.839124547001385,0.9,3
右江区,2026,55.92299888089967,57.50790296767742,3.162934663222258,10411.9,3
合山市,2026,83.44590779147379,86.05342316757343,4.732938274216538,2493.0,2
合浦县,2026,91.0999079836379,91.27756027650095,5.020265815207552,18101.6,3
城中区,2026,77.15971372701573,78.25095894516936,4.303802741984315,0.0,2
大化瑶族自治县,2026,69.3243403836084,69.87361829387805,3.843049006163293,4239.7,3
大新县,2026,102.55415170768129,102.46008473190824,5.6353046602549535,35183.1,3
天峨县,2026,49.71506435582885,51.426998439551696,2.8284849141753434,71.7,3
天等县,2026,96.21004706173208,96.28486835714068,5.295667759642737,4331.6,3
宁明县,2026,99.22289823083176,98.81416060691552,5.434778833380354,46004.69999999999,3
宜州区,2026,69.55221205872131,71.8748955706216,3.953119256384188,20859.9,2
容县,2026,78.96791429660564,80.06836141155321,4.4037598776354265,216.7,3
宾阳县,2026,93.67139085972796,95.41198667362232,5.247659267049228,20794.9,3
富川瑶族自治县,2026,33.31289743371373,39.089587645255456,2.14992732048905,3.8,3
岑溪市,2026,67.11215660416602,68.83864200785182,3.7861253104318497,849.7,3
巴马瑶族自治县,2026,61.33090528546859,61.3096622281699,3.3720314225493446,687.9,3
平乐县,2026,93.27713403497746,99.25833774654893,5.459208576060191,48.0,3
平南县,2026,80.16302237768502,81.75961337247493,4.496778735486121,566.6,3
平果市,2026,78.25484590426032,79.34265854167215,4.363846219791968,4238.4,3
平桂区,2026,74.98519852274144,77.09885153616385,4.240436834489012,382.5,3
德保县,2026,58.35704857165645,58.725556010413705,3.229905580572754,2199.0,3
忻城县,2026,70.20401027754298,73.35697851910538,4.034633818550796,5311.9,2
恭城瑶族自治县,2026,107.19588323033312,109.21283118096893,6.006705714953291,23.5,3
扶绥县,2026,88.27854980279558,89.29356536044301,4.911146094824366,73466.6,3
昭平县,2026,62.41123793482925,64.83779002674284,3.566078451470856,88.2,3
柳北区,2026,86.36736182814707,89.48049012422905,4.9214269568325975,954.2,3
柳南区,2026,81.30800132133686,82.95974545285272,4.562785999906899,4186.7,3
柳城县,2026,83.33174739826737,86.3437029153666,4.748903660345164,37552.9,3
柳江区,2026,77.8984367091203,79.77694254227539,4.387731839825147,16075.7,3
桂平市,2026,105.79588891727057,107.09572586166021,5.890264922391312,5133.4,3
横州市,2026,90.19872912396005,92.19948743395028,5.070971808867266,18038.8,3
武宣县,2026,97.63027111142499,99.31733591826769,5.462453475504723,22940.1,3
武鸣区,2026,81.24719874659795,82.36782377183101,4.530230307450705,21542.9,3
永福县,2026,72.66026178313982,75.8640495406649,4.172522724736569,723.0,3
江南区,2026,91.41401321007584,92.49110826108831,5.087010954359857,14495.4,3
江州区,2026,82.30518725129623,83.85391549901927,4.6119653524460595,76581.1,3
浦北县,2026,70.52882869928503,72.12096812048026,3.966653246626414,7192.9,3
