波段,有效样本数,有效比例(%)
B11_1,15000,100.0
B11_10,15000,100.0
B11_11,15000,100.0
B11_12,15000,100.0
B11_2,15000,100.0
B11_3,15000,100.0
B11_4,15000,100.0
B11_5,15000,100.0
B11_6,15000,100.0
B11_7,15000,100.0
B11_8,15000,100.0
B11_9,15000,100.0
B12_1,15000,100.0
B12_10,15000,100.0
B12_11,15000,100.0
B12_12,15000,100.0
B12_2,15000,100.0
B12_3,15000,100.0
B12_4,15000,100.0
B12_5,15000,100.0
B12_6,15000,100.0
B12_7,15000,100.0
B12_8,15000,100.0
B12_9,15000,100.0
B2_1,15000,100.0
B2_10,15000,100.0
B2_11,15000,100.0
B2_12,15000,100.0
B2_2,15000,100.0
B2_3,15000,100.0
B2_4,15000,100.0
B2_5,15000,100.0
B2_6,15000,100.0
B2_7,15000,100.0
B2_8,15000,100.0
B2_9,15000,100.0
B3_1,15000,100.0
B3_10,15000,100.0
B3_11,15000,100.0
B3_12,15000,100.0
B3_2,15000,100.0
B3_3,15000,100.0
B3_4,15000,100.0
B3_5,15000,100.0
B3_6,15000,100.0
B3_7,15000,100.0
B3_8,15000,100.0
B3_9,15000,100.0
B4_1,15000,100.0
B4_10,15000,100.0
B4_11,15000,100.0
B4_12,15000,100.0
B4_2,15000,100.0
B4_3,15000,100.0
B4_4,15000,100.0
B4_5,15000,100.0
B4_6,15000,100.0
B4_7,15000,100.0
B4_8,15000,100.0
B4_9,15000,100.0
B8_1,15000,100.0
B8_10,15000,100.0
B8_11,15000,100.0
B8_12,15000,100.0
B8_2,15000,100.0
B8_3,15000,100.0
B8_4,15000,100.0
B8_5,15000,100.0
B8_6,15000,100.0
B8_7,15000,100.0
B8_8,15000,100.0
B8_9,15000,100.0
EVI_1,15000,100.0
EVI_10,15000,100.0
EVI_11,15000,100.0
EVI_12,15000,100.0
EVI_2,15000,100.0
EVI_3,15000,100.0
EVI_4,15000,100.0
EVI_5,15000,100.0
EVI_6,15000,100.0
EVI_7,15000,100.0
EVI_8,15000,100.0
EVI_9,15000,100.0
NDVI_1,15000,100.0
NDVI_10,15000,100.0
NDVI_11,15000,100.0
NDVI_12,15000,100.0
NDVI_2,15000,100.0
NDVI_3,15000,100.0
NDVI_4,15000,100.0
NDVI_5,15000,100.0
NDVI_6,15000,100.0
NDVI_7,15000,100.0
NDVI_8,15000,100.0
NDVI_9,15000,100.0
NDWI_1,15000,100.0
NDWI_10,15000,100.0
NDWI_11,15000,100.0
NDWI_12,15000,100.0
NDWI_2,15000,100.0
NDWI_3,15000,100.0
NDWI_4,15000,100.0
NDWI_5,15000,100.0
NDWI_6,15000,100.0
NDWI_7,15000,100.0
NDWI_8,15000,100.0
NDWI_9,15000,100.0
VH_1,15000,100.0
VH_10,15000,100.0
VH_11,15000,100.0
VH_12,15000,100.0
VH_2,15000,100.0
VH_3,15000,100.0
VH_4,15000,100.0
VH_5,15000,100.0
VH_6,15000,100.0
VH_7,15000,100.0
VH_8,15000,100.0
VH_9,15000,100.0
VV_1,15000,100.0
VV_10,15000,100.0
VV_11,15000,100.0
VV_12,15000,100.0
VV_2,15000,100.0
VV_3,15000,100.0
VV_4,15000,100.0
VV_5,15000,100.0
VV_6,15000,100.0
VV_7,15000,100.0
VV_8,15000,100.0
VV_9,15000,100.0
elevation,15000,100.0
